timestamp,depth,roll,pitch,yaw,vertical_acceleration,depth_beneath_rov,Depth_below_Transducer_depth_in_M
1618745902.1367738,0.5,3.29,3.74,-163.62,10.2,20.51,18.7
1618745902.2307723,0.4,3.29,3.74,-163.62,10.2,20.51,18.7
1618745902.3267698,0.4,2.87,3.74,-163.62,10.2,20.36,18.7
1618745902.4227712,0.4,2.87,3.74,-146.22,10.24,20.36,18.7
1618745902.51877,0.4,2.87,3.74,-146.22,10.24,20.36,18.7
1618745902.6147687,0.4,3.07,3.74,-146.22,10.24,20.27,18.7
1618745902.7107694,0.4,3.07,4.23,-172.72,10.24,20.27,18.7
1618745902.8037763,0.4,3.07,4.23,-172.72,10.16,20.27,18.7
1618745902.8988042,0.4,3.07,4.23,-172.72,10.16,20.21,18.7
1618745902.9927711,0.4,3.07,4.23,-172.72,10.16,20.21,18.7
1618745903.087783,0.4,3.75,3.74,-120.72,10.16,20.21,18.7
1618745903.1817687,0.6,3.75,3.74,-120.72,10.21,20.21,18.7
1618745903.275841,0.6,3.75,3.74,-120.72,10.21,20.24,18.7
1618745903.3697681,0.6,3.28,3.33,-120.72,10.21,20.24,18.7
1618745903.4647734,0.5,3.28,3.33,-120.72,10.21,20.24,18.7
1618745903.5597737,0.5,3.28,3.33,-120.72,10.21,20.3,18.7
1618745903.6547928,0.5,2.42,3.99,-120.72,10.21,20.3,18.7
1618745903.7487788,0.5,2.42,3.99,-177.56,10.16,20.3,18.7
1618745903.8438106,0.5,2.42,3.99,-177.56,10.16,20.3,18.7
1618745903.9398093,0.5,2.42,3.99,-177.56,10.16,20.4,18.7
1618745904.0337803,0.5,3.75,4.38,-177.56,10.16,20.4,18.7
1618745904.1287677,0.5,3.75,4.38,-176.85,10.2,20.4,18.7
1618745904.222772,0.5,3.75,4.38,-176.85,10.2,20.5,18.7
1618745904.3187678,0.5,3.97,3.29,-176.85,10.2,20.5,18.7
1618745904.4127672,0.5,3.97,3.29,-173.17,10.2,20.5,18.7
1618745904.505855,0.5,3.97,3.29,-173.17,10.2,20.5,18.7
